"location","order","country","include","counts","Offset","Case_counts_WHO","Sequence_count","Pop_Size","geconMN","geconMIN","geconMAX","geconSTD","pdensMN","langV1","langV2","langV3","langV4","langV5","langV6","langV7","langV8","langV9","langV10","langV11","langV12","langV13","langV14","langV15","langV16","langV17","tt50kMN","tt100kMN","tt500kMN","pre01MN","pre02MN","pre03MN","pre04MN","pre05MN","pre06MN","pre07MN","pre08MN","pre09MN","pre10MN","pre11MN","pre12MN","hum01MN","hum02MN","hum03MN","hum04MN","hum05MN","hum06MN","hum07MN","hum08MN","hum09MN","hum10MN","hum11MN","hum12MN","altMN","tempMN","tmpssMN","precMN","precssMN","IntroadminTO","IntrodistanceTO"
"PortLoko",59,"SLE","IN",2208,540439,3.31142704872431,4.02734183474862,0.969509743299541,1.46280130238556,0.385105924890791,2.56668043051153,3.14055251150159,-0.109023212885962,2.92186714941857,-0.546237563515087,-0.459462304866223,-0.485105588936614,-0.126246316757162,-0.125988157669742,-0.206865434791334,-0.308327995164239,-0.300822675962276,-0.281112938093259,-0.290958840783692,-0.391703739601521,0,0,-0.271818883983744,-0.259402814528728,0,-0.846658260325422,-0.837426567710694,-1.03213209382915,-0.599091373748084,-0.716883309192902,-0.803842588946011,-0.525428684244246,0.458567829926985,0.624775617233991,1.29288088839298,1.51436137081427,1.03600748371345,1.00733773184492,0.643303612997007,-0.265444173132247,-0.904108128969904,-1.15623111682767,-1.21060278303246,-1.27147531689011,-1.20871815114224,-0.946772800167834,-1.3058831409277,-0.481314033329603,-1.0372098915815,-0.914644009993717,-0.819003813256185,-0.652184507043882,-1.18485843077713,0.546505827268217,-0.657013245889467,0.807760120457673,0.121348454407517,1.33784682562569,0.463807818845803
"Pujehun",60,"SLE","IN",68,278897,-0.343593898302796,-0.238682195548541,-0.101515961296111,0.970563941644208,1.43267971561692,0.347452250417934,-0.738922787831014,-0.135998333874698,0.956320841221503,-0.546237563515087,-0.459462304866223,-0.485105588936614,-0.126246316757162,-0.125988157669742,-0.206865434791334,1.97907340611811,-0.300822675962276,-0.281112938093259,-0.290958840783692,-0.391703739601521,0,0,0.667265928822654,0.333636904453701,0,-0.649723944701389,-0.742521900182275,-0.29019090049297,0.202055114469804,0.186297090118173,0.382503654664946,0.724334124362214,1.16193696000291,1.56200776394585,0.656871250731216,0.499781951019985,1.07646237819707,1.33816689598398,1.3323612019078,0.743552423353674,-0.929327701540783,-0.525359662706193,-0.216801584947284,-0.511449038488776,-0.485075923752475,-0.544100780900275,-0.696019662404896,0.0804360254659881,-0.527597085159035,-0.469056295208488,-0.870530353436651,-1.06236312761542,-1.1664454622467,0.577530588251452,-0.920792143101692,1.49495319977503,-0.401774768139473,1.88476871094512,-0.0511973669993731
"RiverCess",47,"LBR","IN",48,73960,-0.377752972574077,-0.45047062258457,-0.940741763739769,-0.645416220943309,-0.232552690248191,-0.86830494206809,-0.893398439123191,-0.202110149636037,-0.509155558152468,-0.546237563515087,-0.459462304866223,-0.485105588936614,-0.126246316757162,-0.125988157669742,-0.206865434791334,-0.308327995164239,-0.294610915237614,-0.281112938093259,4.47580510260825,0.733210222960538,0,0,-0.319061444149987,-0.259402814528728,0,0.426938982838291,0.188526873235185,0.146238991713965,1.52297177063795,1.31758434780915,1.26256872395733,0.906787540579078,0.941361096437079,1.09524642912316,-0.400285612024229,-0.535250273171873,0.6173060766071,0.28590521605868,0.661281003439654,1.28436894997749,-0.985531324563451,-0.946024190028684,-0.92560572786917,-0.887141687774535,-0.855808762947014,-0.958277701995828,-0.439628001138322,0.142879796532071,-0.808876921163291,-0.94903251651393,-0.997243613450304,-1.11304154284502,-0.76364701133773,-0.296200882418263,-1.34331259740177,0.907118264730903,-1.29020081505807,-0.503346744111445,-0.262361276169191
"RiverGee",48,"LBR","IN",13,83020,-0.437531352548819,-0.480726112161145,-0.903640675258238,-0.250634014235713,-0.186159845641203,0.171522590161106,-0.309458844760084,-0.20303008444075,-0.509155558152468,-0.546237563515087,-0.459462304866223,-0.485105588936614,-0.126246316757162,-0.125988157669742,-0.206865434791334,-0.308327995164239,-0.300822675962276,-0.281112938093259,1.29781413550709,2.720407703373,0,0,-0.319061444149987,-0.259402814528728,0,1.75225843562747,1.44091071069852,1.89167489196659,2.44657274446823,2.30189225984991,1.70337742146004,1.04030979694541,1.15932579647938,0.564321304084956,-1.25072681466062,-1.58676380311812,-1.1431427235193,-0.392360613593878,0.964196887936637,2.25012284048197,-1.33396186698165,-1.42501682342988,-1.45193945616803,-1.28988426781991,-1.59133353579369,-1.88276137073782,-1.36396535527133,-0.62075551805211,-1.68838194278074,-1.72557952682506,-1.33304239697648,-1.35601654552584,-0.530135852602321,-0.289652698464188,-0.779639882938425,0.676989400336713,-2.06987024711817,-0.502537419943019,-0.352168226790299
"Salemata",65,"SEN","OUT",0,19887,-0.459734750825152,-0.510981601737721,-1.16217301732275,-0.709562961435806,-0.411142820117498,-0.870199327445896,-0.700729421890382,-0.206730550886326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.579820632856478,1.24514495618912,0.634461462985168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.922962737440723,1.60584402843239,1.68687995732101,-1.23514732097681,1.16783508396895,-1.22153400817115,-0.338243471848907
"SanPedro",76,"CIV","OUT",0,185465,-0.459734750825152,-0.510981601737721,-0.48412400754406,1.19799733146757,-0.518700480108214,2.60070709251081,4.1260389057142,-0.181701550425763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22604513248775,1.8910313420272,3.24796949061185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.833707605167077,-0.269142328865751,-0.955504200238174,-0.135594904367104,-1.72857328243486,-1.21247630902918,-0.363256846363743
"Saraya",66,"SEN","OUT",0,55879,-0.459734750825152,-0.510981601737721,-1.01478423403056,-1.20387820750799,-0.927094004150242,-1.26823164460865,-0.863203156521581,-0.209968554824438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5712356404713,2.06871759171112,1.29511723188857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.683591834228046,1.90017780435142,1.64561488282332,-1.42889048764288,1.32511283212044,-1.22153400817115,-0.345724148953738
"Siguiri",31,"GIN","IN",38,427947,-0.394832509709718,-0.420215133007994,0.508850179782499,-0.961328841801162,-0.850680560147699,-0.94434827637543,-0.629438816679279,-0.190759070686221,-0.509155558152468,1.93533560114606,0.131329062592069,-0.384430595016535,-0.126246316757162,-0.125988157669742,-0.206865434791334,-0.308327995164239,-0.300822675962276,-0.281112938093259,-0.290958840783692,-0.391703739601521,0,0,-0.319061444149987,-0.259402814528728,0,-0.583038890659548,-0.765539128947786,-0.377638986096692,-0.774685359492631,-0.877065516455885,-0.975019926545079,-1.17141463435943,-1.60721062719128,-1.55459963631492,-0.864699077992746,-0.816940444014693,-1.68866222029002,-2.04808215792745,-1.75552723123503,-0.965256958414194,1.09010687505506,1.19713083371076,1.29374805051661,1.47905407191536,1.64980727602444,1.66791042527634,1.72988193831723,1.49951419770508,1.51171235360472,2.04247249506122,1.95893105413444,1.39788725243845,0.491184344654671,0.439159633701287,1.09186167492407,-1.15894485049164,0.792922365097047,-0.030747957276555,-0.335280412266646
"Sinoe",49,"LBR","IN",33,103789,-0.403372278277538,-0.420215133007994,-0.818590729709351,-0.222545173494982,-0.0318655857841205,-0.515701666349564,-0.555897017485692,-0.205470538138438,-0.509155558152468,-0.546237563515087,-0.459462304866223,-0.485105588936614,-0.126246316757162,-0.125988157669742,-0.206865434791334,-0.308327995164239,-0.300822675962276,-0.281112938093259,1.61058197269897,2.5252906739673,0,0,-0.319061444149987,-0.259402814528728,0,3.61995130100524,3.20581980715981,2.61232080979663,2.14656250355909,1.92588583916829,1.48164114936416,0.945855663618665,1.15728400079328,0.97308077279791,-0.786911930591684,-1.03964785115095,-0.164836286699956,0.0052680828392984,0.906645849875639,1.94064069893531,-1.27519624123594,-1.28746934708143,-1.27067348807528,-1.15087793879523,-1.30763962766766,-1.51664949477936,-0.973569750876157,-0.307886195085611,-1.40452828478857,-1.43486220248991,-1.21176222734501,-1.31448833070415,-0.87436486921026,-0.370579225929674,-1.4142510198638,1.47617767159754,-1.6047974340434,-0.51131680074341,-0.325080960209229
"Tambacounda",68,"SEN","OUT",0,259657,-0.459734750825152,-0.510981601737721,-0.18030458628338,-0.427240530640398,-0.794533104449333,-0.18106353767786,-0.00133576368436501,-0.196496623422387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431190749645721,1.18834689830729,1.21996928346715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13267481292705,1.62316405707632,1.81920547670575,-1.68253468516271,1.46972344628516,-1.2240726515279,-0.361830262885663
